Borough,Neighborhood,Latitude,Longitude
Bronx,Wakefield,40.89470517661,-73.84720052054902
Bronx,Co-op City,40.87429419303012,-73.82993910812398
Bronx,Eastchester,40.887555677350775,-73.82780644716412
Bronx,Fieldston,40.89543742690383,-73.90564259591682
Bronx,Riverdale,40.890834493891305,-73.9125854610857
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981
Bronx,Woodlawn,40.89827261213805,-73.86731496814176
Bronx,Norwood,40.87722415599446,-73.8793907395681
Bronx,Williamsbridge,40.88103887819211,-73.85744642974207
Bronx,Baychester,40.866858107252696,-73.83579759808117
Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999
Bronx,City Island,40.84724670491813,-73.78648845267413
Bronx,Bedford Park,40.870185164975325,-73.8855121841913
Bronx,University Heights,40.85572707719664,-73.9104159619131
Bronx,Morris Heights,40.84789792606271,-73.91967159119565
Bronx,Fordham,40.86099679638654,-73.89642655981623
Bronx,East Tremont,40.84269615786053,-73.88735617532338
Bronx,West Farms,40.83947505672653,-73.87774474910545
Bronx,High  Bridge,40.836623010706056,-73.9261020935813
Bronx,Melrose,40.819754370594936,-73.90942160757436
Bronx,Mott Haven,40.80623874935177,-73.91609987487575
Bronx,Port Morris,40.801663627756206,-73.91322139386135
Bronx,Longwood,40.81509904545822,-73.8957882009446
Bronx,Hunts Point,40.80972987938709,-73.88331505955291
Bronx,Morrisania,40.82359198585534,-73.90150648943059
Bronx,Soundview,40.821012197914015,-73.86574609554924
Bronx,Clason Point,40.80655112003589,-73.85414416189266
Bronx,Throgs Neck,40.81510925804005,-73.81635002158441
Bronx,Country Club,40.844245936947374,-73.8240992675385
Bronx,Parkchester,40.837937822267286,-73.85600310535783
Bronx,Westchester Square,40.8406194964327,-73.84219407604444
Bronx,Van Nest,40.84360847124718,-73.8662991807561
Bronx,Morris Park,40.847549063536334,-73.85040178030421
Bronx,Belmont,40.85727710073895,-73.88845196134804
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393
Bronx,North Riverdale,40.90854282950666,-73.90453054908927
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047
Bronx,Schuylerville,40.82657951686922,-73.82620275994073
Bronx,Edgewater Park,40.821986118163494,-73.81388514428619
Bronx,Castle Hill,40.819014376988314,-73.84802729582735
Bronx,Olinville,40.87137078192371,-73.86332361652777
Bronx,Pelham Gardens,40.86296562477998,-73.84161194831223
Bronx,Concourse,40.83428380733851,-73.91558941773444
Bronx,Unionport,40.82977429787161,-73.85053524451935
Bronx,Edenwald,40.88456130303732,-73.84808271877168
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336
Brooklyn,Sheepshead Bay,40.58689012678384,-73.94318640482979
Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836
Brooklyn,Kensington,40.642381958003526,-73.98042110559474
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172
Brooklyn,Prospect Heights,40.676822262254724,-73.9648592426269
Brooklyn,Brownsville,40.66394994339755,-73.91023536176607
Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045
Brooklyn,Bedford Stuyvesant,40.687231607720456,-73.94178488690297
Brooklyn,Brooklyn Heights,40.695863722724084,-73.99378225496424
Brooklyn,Cobble Hill,40.687919722485574,-73.99856139218463
Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006
Brooklyn,Red Hook,40.676253230250886,-74.0127589747356
Brooklyn,Gowanus,40.673931143187154,-73.99444087145339
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924
Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457296
Brooklyn,East New York,40.669925700847045,-73.88069863917366
Brooklyn,Starrett City,40.64758905230874,-73.87936970045875
Brooklyn,Canarsie,40.63556432797428,-73.90209269778966
Brooklyn,Flatlands,40.630446043757466,-73.92911302644674
Brooklyn,Mill Island,40.606336421685626,-73.90818571777423
Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637
Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811
Brooklyn,Dyker Heights,40.619219457722636,-74.01931375636022
Brooklyn,Gerritsen Beach,40.590848433902046,-73.93010170691196
Brooklyn,Marine Park,40.609747779894604,-73.93134404108497
Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367
Brooklyn,Sea Gate,40.57637537890224,-74.0078731120024
Brooklyn,Downtown,40.69084402109802,-73.98346337431099
Brooklyn,Boerum Hill,40.685682912091444,-73.98374824115798
Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713
Brooklyn,Ocean Hill,40.678402554795355,-73.91306831787395
Brooklyn,City Line,40.67856995727479,-73.86797598081334
Brooklyn,Bergen Beach,40.61514955045308,-73.89855633630317
Brooklyn,Midwood,40.62559589869843,-73.95759523489838
Brooklyn,Prospect Park South,40.647008603185185,-73.96261316716048
Brooklyn,Georgetown,40.62384524478419,-73.91607483951324
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195
Brooklyn,North Side,40.714822906532014,-73.95880857587582
Brooklyn,South Side,40.71086147265064,-73.95800095153331
Brooklyn,Ocean Parkway,40.61305976667942,-73.96836678035541
Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537984
Manhattan,Chinatown,40.71561842231432,-73.99427936255978
Manhattan,Washington Heights,40.85190252555305,-73.93690027985234
Manhattan,Inwood,40.86768396449915,-73.92121042203897
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366
Manhattan,Manhattanville,40.8169344294978,-73.9573853935188
Manhattan,Central Harlem,40.81597606742414,-73.94321112603905
Manhattan,East Harlem,40.79224946663033,-73.94418223148524
Manhattan,Upper East Side,40.775638573301805,-73.96050763135
Manhattan,Yorkville,40.775929849884875,-73.94711784471826
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603
Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262
Manhattan,Clinton,40.75910089146212,-73.99611936309479
Manhattan,Midtown,40.75469110270623,-73.98166882730304
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127
Manhattan,Chelsea,40.744034706747975,-74.00311633472813
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902
Manhattan,East Village,40.727846777270244,-73.98222616506416
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291
Manhattan,Tribeca,40.721521967443216,-74.01068328559087
Manhattan,Little Italy,40.71932379395907,-73.99730467208073
Manhattan,Soho,40.72218384131794,-74.00065666959759
Manhattan,West Village,40.73443393572434,-74.00617998126812
Manhattan,Manhattan Valley,40.797307041702865,-73.96428617740655
Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332
Manhattan,Gramercy,40.737209832715,-73.98137594833541
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617
Manhattan,Financial District,40.70710710727048,-74.0106654452127
